content_id,title,type,country,release_year,genre
s1,Dick Johnson Is Dead,Movie,United States,2020,Documentaries
s2,Blood & Water,TV Show,South Africa,2021,"International TV Shows, TV Dramas, TV Mysteries"
s3,Ganglands,TV Show,Unknown,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s4,Jailbirds New Orleans,TV Show,Unknown,2021,"Docuseries, Reality TV"
s5,Kota Factory,TV Show,India,2021,"International TV Shows, Romantic TV Shows, TV Comedies"
s6,Midnight Mass,TV Show,Unknown,2021,"TV Dramas, TV Horror, TV Mysteries"
s7,My Little Pony: A New Generation,Movie,Unknown,2021,Children & Family Movies
s8,Sankofa,Movie,"United States, Ghana, Burkina Faso, United Kingdom, Germany, Ethiopia",1993,"Dramas, Independent Movies, International Movies"
s9,The Great British Baking Show,TV Show,United Kingdom,2021,"British TV Shows, Reality TV"
s10,The Starling,Movie,United States,2021,"Comedies, Dramas"
s11,"Vendetta: Truth, Lies and The Mafia",TV Show,Unknown,2021,"Crime TV Shows, Docuseries, International TV Shows"
s12,Bangkok Breaking,TV Show,Unknown,2021,"Crime TV Shows, International TV Shows, TV Action & Adventure"
s13,Je Suis Karl,Movie,"Germany, Czech Republic",2021,"Dramas, International Movies"
s14,Confessions of an Invisible Girl,Movie,Unknown,2021,"Children & Family Movies, Comedies"
s15,Crime Stories: India Detectives,TV Show,Unknown,2021,"British TV Shows, Crime TV Shows, Docuseries"
s16,Dear White People,TV Show,United States,2021,"TV Comedies, TV Dramas"
s17,Europe's Most Dangerous Man: Otto Skorzeny in Spain,Movie,Unknown,2020,"Documentaries, International Movies"
s18,Falsa identidad,TV Show,Mexico,2020,"Crime TV Shows, Spanish-Language TV Shows, TV Dramas"
s19,Intrusion,Movie,Unknown,2021,Thrillers
s20,Jaguar,TV Show,Unknown,2021,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s21,Monsters Inside: The 24 Faces of Billy Milligan,TV Show,Unknown,2021,"Crime TV Shows, Docuseries, International TV Shows"
s22,Resurrection: Ertugrul,TV Show,Turkey,2018,"International TV Shows, TV Action & Adventure, TV Dramas"
s23,Avvai Shanmughi,Movie,Unknown,1996,"Comedies, International Movies"
s24,Go! Go! Cory Carson: Chrissy Takes the Wheel,Movie,Unknown,2021,Children & Family Movies
s25,Jeans,Movie,India,1998,"Comedies, International Movies, Romantic Movies"
s26,Love on the Spectrum,TV Show,Australia,2021,"Docuseries, International TV Shows, Reality TV"
s27,Minsara Kanavu,Movie,Unknown,1997,"Comedies, International Movies, Music & Musicals"
s28,Grown Ups,Movie,United States,2010,Comedies
s29,Dark Skies,Movie,United States,2013,"Horror Movies, Sci-Fi & Fantasy"
s30,Paranoia,Movie,"United States, India, France",2013,Thrillers
s31,Ankahi Kahaniya,Movie,Unknown,2021,"Dramas, Independent Movies, International Movies"
s32,Chicago Party Aunt,TV Show,Unknown,2021,TV Comedies
s33,Sex Education,TV Show,United Kingdom,2020,"British TV Shows, International TV Shows, TV Comedies"
s34,Squid Game,TV Show,Unknown,2021,"International TV Shows, TV Dramas, TV Thrillers"
s35,Tayo and Little Wizards,TV Show,Unknown,2020,Kids' TV
s36,The Father Who Moves Mountains,Movie,Unknown,2021,"Dramas, International Movies, Thrillers"
s37,The Stronghold,Movie,Unknown,2021,"Action & Adventure, Dramas, International Movies"
s38,Angry Birds,TV Show,Finland,2018,"Kids' TV, TV Comedies"
s39,Birth of the Dragon,Movie,"China, Canada, United States",2017,"Action & Adventure, Dramas"
s40,Chhota Bheem,TV Show,India,2021,Kids' TV
s41,He-Man and the Masters of the Universe,TV Show,United States,2021,"Kids' TV, TV Sci-Fi & Fantasy"
s42,Jaws,Movie,United States,1975,"Action & Adventure, Classic Movies, Dramas"
s43,Jaws 2,Movie,United States,1978,"Dramas, Horror Movies, Thrillers"
s44,Jaws 3,Movie,United States,1983,"Action & Adventure, Horror Movies, Thrillers"
s45,Jaws: The Revenge,Movie,United States,1987,"Action & Adventure, Horror Movies, Thrillers"
s46,My Heroes Were Cowboys,Movie,Unknown,2021,Documentaries
s47,Safe House,Movie,"South Africa, United States, Japan",2012,Action & Adventure
s48,The Smart Money Woman,TV Show,Unknown,2020,"International TV Shows, Romantic TV Shows, TV Comedies"
s49,Training Day,Movie,United States,2001,"Dramas, Thrillers"
s50,Castle and Castle,TV Show,Nigeria,2021,"International TV Shows, TV Dramas"
s51,Dharmakshetra,TV Show,India,2014,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,Japan,2002,"Action & Adventure, Anime Features, International Movies"
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,Japan,2003,"Action & Adventure, Anime Features, International Movies"
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,Japan,2004,"Action & Adventure, Anime Features, International Movies"
s55,InuYasha the Movie: Affections Touching Across Time,Movie,Japan,2001,"Action & Adventure, Anime Features, International Movies"
s56,Nailed It,TV Show,United States,2021,Reality TV
s57,Naruto Shippuden the Movie: Blood Prison,Movie,Japan,2011,"Action & Adventure, Anime Features, International Movies"
s58,Naruto Shippûden the Movie: Bonds,Movie,Japan,2008,"Action & Adventure, Anime Features, International Movies"
s59,Naruto Shippûden the Movie: The Will of Fire,Movie,Japan,2009,"Action & Adventure, Anime Features, International Movies"
s60,Naruto Shippuden: The Movie,Movie,Japan,2007,"Action & Adventure, Anime Features, International Movies"
s61,Naruto Shippuden: The Movie: The Lost Tower,Movie,Japan,2010,"Action & Adventure, Anime Features, International Movies"
s62,Naruto the Movie 2: Legend of the Stone of Gelel,Movie,Japan,2005,"Action & Adventure, Anime Features, International Movies"
s63,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Movie,Japan,2006,"Action & Adventure, Anime Features, International Movies"
s64,Naruto the Movie: Ninja Clash in the Land of Snow,Movie,Japan,2004,"Action & Adventure, Anime Features, International Movies"
s65,Nightbooks,Movie,Unknown,2021,Children & Family Movies
s66,Numberblocks,TV Show,United Kingdom,2021,Kids' TV
s67,Raja Rasoi Aur Anya Kahaniyan,TV Show,India,2014,"Docuseries, International TV Shows"
s68,Saved by the Bell,TV Show,United States,1994,"Kids' TV, TV Comedies"
s69,Schumacher,Movie,Unknown,2021,"Documentaries, International Movies, Sports Movies"
s70,Stories by Rabindranath Tagore,TV Show,India,2015,"International TV Shows, TV Dramas"
s71,Too Hot To Handle: Latino,TV Show,Unknown,2021,"International TV Shows, Reality TV, Romantic TV Shows"
