watch_id,user_id,content_id,watch_time_minutes,watch_date,device
W1,424,s776,42,2025-08-07,TV
W2,108,s8381,67,2026-01-09,TV
W3,242,s6162,151,2026-02-23,Laptop
W4,1491,s4815,115,2025-05-16,Mobile
W5,1990,s8182,120,2025-03-21,TV
W6,1156,s7756,55,2025-10-30,TV
W7,1438,s1096,142,2026-01-12,Tablet
W8,785,s5065,58,2025-11-05,Laptop
W9,833,s3672,126,2025-08-28,TV
W10,786,s1747,89,2025-06-06,Mobile
W11,836,s1174,55,2025-11-28,TV
W12,1960,s3417,169,2026-02-21,Tablet
W13,1920,s225,129,2025-07-17,TV
W14,518,s874,124,2025-07-11,TV
W15,1580,s5150,146,2025-11-12,Laptop
W16,1554,s5942,108,2025-06-01,Mobile
W17,511,s4873,107,2025-05-14,Tablet
W18,615,s3180,33,2025-05-07,Laptop
W19,1340,s4905,74,2025-07-15,Tablet
W20,279,s5520,128,2025-10-13,Mobile
W21,1269,s5158,56,2025-05-17,Tablet
W22,506,s4907,49,2026-01-18,Mobile
W23,1347,s5691,87,2025-07-25,Tablet
W24,65,s8750,178,2026-02-10,TV
W25,1768,s1313,92,2026-01-05,Laptop
W26,635,s8464,88,2025-04-08,TV
W27,486,s8233,105,2025-10-14,Mobile
W28,94,s6172,158,2025-06-01,Mobile
W29,939,s4675,34,2025-07-31,Tablet
W30,1203,s6796,63,2025-07-30,Laptop
W31,1103,s2726,45,2025-09-04,Tablet
W32,561,s659,123,2026-01-21,Tablet
W33,979,s5429,133,2025-07-12,Laptop
W34,267,s4754,168,2025-09-06,TV
W35,895,s4238,49,2025-03-27,Mobile
W36,1339,s2684,145,2025-06-23,Mobile
W37,338,s7374,132,2026-03-06,Mobile
W38,1422,s5673,18,2025-12-11,Tablet
W39,1529,s2081,38,2026-01-04,TV
W40,1987,s7488,109,2025-04-06,Mobile
W41,1741,s6995,128,2025-10-10,TV
W42,236,s6993,122,2026-02-13,Tablet
W43,734,s5291,45,2026-01-12,Mobile
W44,1117,s7242,63,2025-10-31,Laptop
W45,151,s5405,32,2025-08-29,Tablet
W46,1894,s7568,51,2025-10-05,TV
W47,1004,s4214,73,2025-10-30,Tablet
W48,200,s155,47,2025-12-15,Tablet
W49,1384,s367,165,2025-04-06,TV
W50,628,s307,94,2025-10-16,Tablet
W51,931,s4280,96,2025-12-29,Mobile
W52,1380,s7294,125,2025-09-04,Laptop
W53,827,s5465,152,2025-11-03,Mobile
W54,1079,s6062,120,2025-07-08,Mobile
W55,308,s3724,20,2025-04-09,Mobile
W56,516,s6150,59,2025-07-28,Tablet
W57,954,s2392,115,2025-10-07,Mobile
W58,1020,s6544,59,2025-03-14,Laptop
W59,1681,s3262,135,2025-10-12,Mobile
W60,398,s7722,121,2025-05-18,TV
W61,1500,s832,72,2025-07-22,Mobile
W62,519,s1467,179,2025-12-08,TV
W63,599,s1767,141,2025-11-17,Laptop
W64,34,s1975,10,2025-09-20,TV
W65,30,s6366,77,2025-10-25,Laptop
W66,1547,s2866,164,2026-01-12,Mobile
W67,1133,s3855,153,2025-08-24,TV
W68,495,s7321,180,2025-06-15,Tablet
W69,1643,s3196,126,2025-09-07,Mobile
W70,75,s6804,93,2025-08-11,Laptop
W71,244,s1509,55,2025-10-15,Tablet
W72,246,s1768,15,2025-03-27,Laptop
W73,1446,s6156,94,2026-01-03,TV
W74,982,s5252,106,2025-10-07,Tablet
W75,1928,s1529,174,2025-12-30,Tablet
W76,480,s7421,59,2025-08-01,TV
W77,1228,s2171,155,2025-05-28,Tablet
W78,246,s7185,36,2025-03-09,TV
W79,961,s2458,32,2025-05-19,TV
W80,326,s5533,124,2025-08-23,Laptop
W81,31,s3213,164,2025-04-12,Tablet
W82,43,s4544,92,2025-10-29,Mobile
W83,833,s7992,175,2025-12-23,Laptop
W84,1900,s4851,161,2025-11-06,Laptop
W85,1042,s6204,43,2025-10-14,Mobile
W86,1053,s5883,173,2026-03-05,Tablet
W87,1475,s1230,119,2025-04-09,Mobile
W88,1778,s1862,140,2025-10-26,Tablet
W89,207,s8212,156,2025-06-23,Laptop
W90,1954,s4923,38,2025-06-01,Mobile
W91,1997,s4645,97,2026-02-22,Tablet
W92,1517,s7596,35,2026-02-17,TV
W93,1376,s7864,21,2025-05-03,Mobile
W94,1912,s1576,68,2025-04-24,TV
W95,1516,s1572,13,2026-03-09,Mobile
W96,289,s3872,105,2026-01-30,Laptop
W97,202,s3662,130,2026-02-25,Laptop
W98,1531,s8204,92,2025-11-20,Tablet
W99,975,s5859,38,2025-04-17,TV
W100,1482,s3676,62,2025-09-01,Mobile
W101,1324,s892,48,2026-01-19,TV
W102,1438,s6517,166,2025-07-30,Laptop
W103,535,s3591,26,2025-11-04,TV
W104,1755,s192,55,2026-02-19,Mobile
W105,334,s4415,162,2026-01-07,Mobile
W106,81,s3047,166,2025-12-31,Laptop
W107,161,s6196,62,2025-03-23,Laptop
W108,645,s75,47,2025-06-10,Laptop
W109,1068,s3505,29,2025-10-04,Laptop
W110,560,s8027,139,2026-03-08,TV
W111,266,s1745,173,2025-05-10,Tablet
W112,192,s8495,150,2025-04-25,Mobile
W113,117,s4241,99,2025-12-05,Laptop
W114,1028,s4040,69,2025-05-26,Tablet
W115,164,s2877,72,2025-03-18,TV
W116,983,s5972,12,2025-12-08,Laptop
